origin_intl_price_area_id,origin_intl_price_area,destination_intl_price_area_id,destination_intl_price_area,season,hhg_shipping_linehaul_price,ub_price
BA,Bahrain,GE,Germany,NonPeak,$10.35,$10.50
BA,Bahrain,GE,Germany,Peak,$12.21,$12.39
BA,Bahrain,GQ,GUAM,NonPeak,$10.83,$17.59
BA,Bahrain,GQ,GUAM,Peak,$12.78,$20.76
BA,Bahrain,GR,Greece,NonPeak,$11.35,$12.03
BA,Bahrain,GR,Greece,Peak,$13.39,$14.20
BA,Bahrain,GR29,Crete,NonPeak,$11.82,$12.66
BA,Bahrain,GR29,Crete,Peak,$13.95,$14.94
BA,Bahrain,GT,Guatemala,NonPeak,$8.88,$17.97
BA,Bahrain,GT,Guatemala,Peak,$10.48,$21.20
BA,Bahrain,HO,Honduras,NonPeak,$9.31,$12.36
BA,Bahrain,HO,Honduras,Peak,$10.99,$14.58
BA,Bahrain,HU,Hungary,NonPeak,$9.77,$10.91
BA,Bahrain,HU,Hungary,Peak,$11.53,$12.87
BA,Bahrain,IT,ITALY,NonPeak,$10.21,$18.51
BA,Bahrain,IT,ITALY,Peak,$12.05,$21.84
BA,Bahrain,IT10,Sicily,NonPeak,$10.65,$12.70
BA,Bahrain,IT10,Sicily,Peak,$12.57,$14.99
BA,Bahrain,JA01,JAPAN-CENTRAL,NonPeak,$10.35,$11.24
BA,Bahrain,JA01,JAPAN-CENTRAL,Peak,$12.21,$13.26
BA,Bahrain,JA02,JAPAN-SOUTH (EXCLUDES HOKKAIDO),NonPeak,$10.83,$19.00
BA,Bahrain,JA02,JAPAN-SOUTH (EXCLUDES HOKKAIDO),Peak,$12.78,$22.42
BA,Bahrain,JA03,Japan-North,NonPeak,$11.35,$12.99
BA,Bahrain,JA03,Japan-North,Peak,$13.39,$15.33
BA,Bahrain,JA96,OKINAWA,NonPeak,$11.82,$11.54
BA,Bahrain,JA96,OKINAWA,Peak,$13.95,$13.62
