origin_intl_price_area_id,origin_intl_price_area,destination_domestic_price_area_area,destination_domestic_price_area,season,hhg_shipping_linehaul_price,ub_price
AR,Argentina,US52,South Dakota,NonPeak,$16.05,$33.75
AR,Argentina,US52,South Dakota,Peak,$18.94,$39.82
AR,Argentina,US53,Iowa,NonPeak,$16.80,$31.40
AR,Argentina,US53,Iowa,Peak,$19.82,$37.05
AR,Argentina,US55,Nebraska,NonPeak,$17.57,$44.17
AR,Argentina,US55,Nebraska,Peak,$20.73,$52.12
AR,Argentina,US56,Missouri,NonPeak,$18.33,$33.98
AR,Argentina,US56,Missouri,Peak,$21.63,$40.10
AR,Argentina,US58,Kansas,NonPeak,$24.38,$31.45
AR,Argentina,US58,Kansas,Peak,$28.77,$37.11
AR,Argentina,US60,Arkansas,NonPeak,$16.00,$44.28
AR,Argentina,US60,Arkansas,Peak,$18.88,$52.25
AR,Argentina,US62,Oklahoma,NonPeak,$27.63,$34.11
AR,Argentina,US62,Oklahoma,Peak,$32.60,$40.25
AR,Argentina,US64,Louisiana,NonPeak,$29.28,$31.63
AR,Argentina,US64,Louisiana,Peak,$34.55,$37.32
AR,Argentina,US66,Texas-North,NonPeak,$30.90,$44.51
AR,Argentina,US66,Texas-North,Peak,$36.46,$52.52
AR,Argentina,US68,Texas-South,NonPeak,$15.28,$34.33
AR,Argentina,US68,Texas-South,Peak,$18.03,$40.51
AR,Argentina,US70,Montana,NonPeak,$16.05,$31.74
AR,Argentina,US70,Montana,Peak,$18.94,$37.45
AR,Argentina,US72,Wyoming,NonPeak,$16.80,$44.62
AR,Argentina,US72,Wyoming,Peak,$19.82,$52.65
AR,Argentina,US74,Colorado,NonPeak,$17.57,$34.45
AR,Argentina,US74,Colorado,Peak,$20.73,$40.65
AR,Argentina,US76,Utah,NonPeak,$18.33,$31.91
AR,Argentina,US76,Utah,Peak,$21.63,$37.65
AR,Argentina,US77,New Mexico,NonPeak,$24.38,$44.74
AR,Argentina,US77,New Mexico,Peak,$28.77,$52.79
AR,Argentina,US79,Arizona,NonPeak,$16.00,$34.56
AR,Argentina,US79,Arizona,Peak,$18.88,$40.78
AR,Argentina,US83,Idaho,NonPeak,$27.63,$32.09
AR,Argentina,US83,Idaho,Peak,$32.60,$37.87
AR,Argentina,US84,Washington,NonPeak,$29.28,$44.91
AR,Argentina,US84,Washington,Peak,$34.55,$52.99
AR,Argentina,US85,Oregon,NonPeak,$30.90,$34.74
AR,Argentina,US85,Oregon,Peak,$36.46,$40.99
AR,Argentina,US86,Nevada,NonPeak,$15.28,$32.26
AR,Argentina,US86,Nevada,Peak,$18.03,$38.07
AR,Argentina,US87,California-North,NonPeak,$16.05,$45.09
AR,Argentina,US87,California-North,Peak,$18.94,$53.21
AR,Argentina,US88,California-South,NonPeak,$16.80,$34.90
AR,Argentina,US88,California-South,Peak,$19.82,$41.18
AS11,New South Wales/Australian Capital Territory,US11,Maine,NonPeak,$17.57,$32.44
AS11,New South Wales/Australian Capital Territory,US11,Maine,Peak,$20.73,$38.28
AS11,New South Wales/Australian Capital Territory,US12,New Hampshire,NonPeak,$18.33,$43.94
AS11,New South Wales/Australian Capital Territory,US12,New Hampshire,Peak,$21.63,$51.85
AS11,New South Wales/Australian Capital Territory,US13,Vermont,NonPeak,$24.38,$33.70
AS11,New South Wales/Australian Capital Territory,US13,Vermont,Peak,$28.77,$39.77
AS11,New South Wales/Australian Capital Territory,US14,Massachusetts,NonPeak,$16.00,$31.29
AS11,New South Wales/Australian Capital Territory,US14,Massachusetts,Peak,$18.88,$36.92
AS11,New South Wales/Australian Capital Territory,US15,Rhode Island,NonPeak,$27.63,$44.05
AS11,New South Wales/Australian Capital Territory,US15,Rhode Island,Peak,$32.60,$51.98
AS11,New South Wales/Australian Capital Territory,US16,Connecticut,NonPeak,$29.28,$33.75
AS11,New South Wales/Australian Capital Territory,US16,Connecticut,Peak,$34.55,$39.82
AS11,New South Wales/Australian Capital Territory,US17,New York,NonPeak,$30.90,$31.40
AS11,New South Wales/Australian Capital Territory,US17,New York,Peak,$36.46,$37.05
AS11,New South Wales/Australian Capital Territory,US19,New Jersey,NonPeak,$15.28,$44.17
AS11,New South Wales/Australian Capital Territory,US19,New Jersey,Peak,$18.03,$52.12
AS11,New South Wales/Australian Capital Territory,US20,Pennsylvania,NonPeak,$16.05,$33.98
AS11,New South Wales/Australian Capital Territory,US20,Pennsylvania,Peak,$18.94,$40.10
AS11,New South Wales/Australian Capital Territory,US22,Delaware,NonPeak,$16.80,$31.45
AS11,New South Wales/Australian Capital Territory,US22,Delaware,Peak,$19.82,$37.11
AS11,New South Wales/Australian Capital Territory,US23,Maryland,NonPeak,$17.57,$44.28
AS11,New South Wales/Australian Capital Territory,US23,Maryland,Peak,$20.73,$52.25
AS11,New South Wales/Australian Capital Territory,US24,District Of Columbia,NonPeak,$18.33,$34.11
AS11,New South Wales/Australian Capital Territory,US24,District Of Columbia,Peak,$21.63,$40.25
AS11,New South Wales/Australian Capital Territory,US25,Virginia,NonPeak,$24.38,$31.63
AS11,New South Wales/Australian Capital Territory,US25,Virginia,Peak,$28.77,$37.32
AS11,New South Wales/Australian Capital Territory,US27,West Virginia,NonPeak,$16.00,$44.51
AS11,New South Wales/Australian Capital Territory,US27,West Virginia,Peak,$18.88,$52.52
AS11,New South Wales/Australian Capital Territory,US28,Kentucky,NonPeak,$27.63,$34.33
AS11,New South Wales/Australian Capital Territory,US28,Kentucky,Peak,$32.60,$40.51
AS11,New South Wales/Australian Capital Territory,US30,Michigan,NonPeak,$29.28,$31.74
AS11,New South Wales/Australian Capital Territory,US30,Michigan,Peak,$34.55,$37.45
AS11,New South Wales/Australian Capital Territory,US32,Wisconsin,NonPeak,$30.90,$44.62
AS11,New South Wales/Australian Capital Territory,US32,Wisconsin,Peak,$36.46,$52.65
AS11,New South Wales/Australian Capital Territory,US34,Ohio,NonPeak,$15.28,$34.45
AS11,New South Wales/Australian Capital Territory,US34,Ohio,Peak,$18.03,$40.65
AS11,New South Wales/Australian Capital Territory,US36,Indiana,NonPeak,$16.05,$31.91
AS11,New South Wales/Australian Capital Territory,US36,Indiana,Peak,$18.94,$37.65
AS11,New South Wales/Australian Capital Territory,US38,Illinois,NonPeak,$16.80,$44.74
AS11,New South Wales/Australian Capital Territory,US38,Illinois,Peak,$19.82,$52.79
AS11,New South Wales/Australian Capital Territory,US40,North Carolina,NonPeak,$17.57,$34.56
AS11,New South Wales/Australian Capital Territory,US40,North Carolina,Peak,$20.73,$40.78
AS11,New South Wales/Australian Capital Territory,US42,Tennessee,NonPeak,$18.33,$32.09
AS11,New South Wales/Australian Capital Territory,US42,Tennessee,Peak,$21.63,$37.87
AS11,New South Wales/Australian Capital Territory,US44,South Carolina,NonPeak,$24.38,$44.91
AS11,New South Wales/Australian Capital Territory,US44,South Carolina,Peak,$28.77,$52.99
AS11,New South Wales/Australian Capital Territory,US45,Georgia,NonPeak,$16.00,$34.74
AS11,New South Wales/Australian Capital Territory,US45,Georgia,Peak,$18.88,$40.99
AS11,New South Wales/Australian Capital Territory,US47,Alabama,NonPeak,$27.63,$32.26
AS11,New South Wales/Australian Capital Territory,US47,Alabama,Peak,$32.60,$38.07
AS11,New South Wales/Australian Capital Territory,US48,Mississippi,NonPeak,$29.28,$45.09
AS11,New South Wales/Australian Capital Territory,US48,Mississippi,Peak,$34.55,$53.21
AS11,New South Wales/Australian Capital Territory,US49,Florida-North,NonPeak,$30.90,$34.90
AS11,New South Wales/Australian Capital Territory,US49,Florida-North,Peak,$36.46,$41.18
AS11,New South Wales/Australian Capital Territory,US4964400,Florida-South,NonPeak,$15.28,$32.44
AS11,New South Wales/Australian Capital Territory,US4964400,Florida-South,Peak,$18.03,$38.28
AS11,New South Wales/Australian Capital Territory,US4965500,Florida Keys,NonPeak,$16.05,$43.94
AS11,New South Wales/Australian Capital Territory,US4965500,Florida Keys,Peak,$18.94,$51.85
AS11,New South Wales/Australian Capital Territory,US50,Minnesota,NonPeak,$16.80,$33.70
AS11,New South Wales/Australian Capital Territory,US50,Minnesota,Peak,$19.82,$39.77
AS11,New South Wales/Australian Capital Territory,US51,North Dakota,NonPeak,$17.57,$31.29
AS11,New South Wales/Australian Capital Territory,US51,North Dakota,Peak,$20.73,$36.92
AS11,New South Wales/Australian Capital Territory,US52,South Dakota,NonPeak,$18.33,$44.05
AS11,New South Wales/Australian Capital Territory,US52,South Dakota,Peak,$21.63,$51.98
AS11,New South Wales/Australian Capital Territory,US53,Iowa,NonPeak,$24.38,$33.75
AS11,New South Wales/Australian Capital Territory,US53,Iowa,Peak,$28.77,$39.82
AS11,New South Wales/Australian Capital Territory,US55,Nebraska,NonPeak,$16.00,$31.40
AS11,New South Wales/Australian Capital Territory,US55,Nebraska,Peak,$18.88,$37.05
AS11,New South Wales/Australian Capital Territory,US56,Missouri,NonPeak,$27.63,$44.17
AS11,New South Wales/Australian Capital Territory,US56,Missouri,Peak,$32.60,$52.12
AS11,New South Wales/Australian Capital Territory,US58,Kansas,NonPeak,$29.28,$33.98
AS11,New South Wales/Australian Capital Territory,US58,Kansas,Peak,$34.55,$40.10
AS11,New South Wales/Australian Capital Territory,US60,Arkansas,NonPeak,$30.90,$31.45
AS11,New South Wales/Australian Capital Territory,US60,Arkansas,Peak,$36.46,$37.11
AS11,New South Wales/Australian Capital Territory,US62,Oklahoma,NonPeak,$15.28,$44.28
AS11,New South Wales/Australian Capital Territory,US62,Oklahoma,Peak,$18.03,$52.25
AS11,New South Wales/Australian Capital Territory,US64,Louisiana,NonPeak,$16.05,$34.11
AS11,New South Wales/Australian Capital Territory,US64,Louisiana,Peak,$18.94,$40.25
AS11,New South Wales/Australian Capital Territory,US66,Texas-North,NonPeak,$16.80,$31.63
AS11,New South Wales/Australian Capital Territory,US66,Texas-North,Peak,$19.82,$37.32
AS11,New South Wales/Australian Capital Territory,US68,Texas-South,NonPeak,$17.57,$44.51
AS11,New South Wales/Australian Capital Territory,US68,Texas-South,Peak,$20.73,$52.52
AS11,New South Wales/Australian Capital Territory,US70,Montana,NonPeak,$18.33,$34.33
AS11,New South Wales/Australian Capital Territory,US70,Montana,Peak,$21.63,$40.51
AS11,New South Wales/Australian Capital Territory,US72,Wyoming,NonPeak,$24.38,$31.74
AS11,New South Wales/Australian Capital Territory,US72,Wyoming,Peak,$28.77,$37.45
AS11,New South Wales/Australian Capital Territory,US74,Colorado,NonPeak,$16.00,$44.62
AS11,New South Wales/Australian Capital Territory,US74,Colorado,Peak,$18.88,$52.65
AS11,New South Wales/Australian Capital Territory,US76,Utah,NonPeak,$27.63,$34.45
AS11,New South Wales/Australian Capital Territory,US76,Utah,Peak,$32.60,$40.65
AS11,New South Wales/Australian Capital Territory,US77,New Mexico,NonPeak,$29.28,$31.91
AS11,New South Wales/Australian Capital Territory,US77,New Mexico,Peak,$34.55,$37.65
AS11,New South Wales/Australian Capital Territory,US79,Arizona,NonPeak,$30.90,$44.74
AS11,New South Wales/Australian Capital Territory,US79,Arizona,Peak,$36.46,$52.79
AS11,New South Wales/Australian Capital Territory,US83,Idaho,NonPeak,$15.28,$34.56
AS11,New South Wales/Australian Capital Territory,US83,Idaho,Peak,$18.03,$40.78
AS11,New South Wales/Australian Capital Territory,US84,Washington,NonPeak,$16.05,$32.09
AS11,New South Wales/Australian Capital Territory,US84,Washington,Peak,$18.94,$37.87
AS11,New South Wales/Australian Capital Territory,US85,Oregon,NonPeak,$16.80,$44.91
AS11,New South Wales/Australian Capital Territory,US85,Oregon,Peak,$19.82,$52.99
AS11,New South Wales/Australian Capital Territory,US86,Nevada,NonPeak,$17.57,$34.74
AS11,New South Wales/Australian Capital Territory,US86,Nevada,Peak,$20.73,$40.99
AS11,New South Wales/Australian Capital Territory,US87,California-North,NonPeak,$18.33,$32.26
AS11,New South Wales/Australian Capital Territory,US87,California-North,Peak,$21.63,$38.07
AS11,New South Wales/Australian Capital Territory,US88,California-South,NonPeak,$24.38,$45.09
AS11,New South Wales/Australian Capital Territory,US88,California-South,Peak,$28.77,$53.21
AS21,Northern Territory,US11,Maine,NonPeak,$16.00,$34.90
AS21,Northern Territory,US11,Maine,Peak,$18.88,$41.18
AS21,Northern Territory,US12,New Hampshire,NonPeak,$27.63,$32.44
AS21,Northern Territory,US12,New Hampshire,Peak,$32.60,$38.28
AS21,Northern Territory,US13,Vermont,NonPeak,$29.28,$43.94
AS21,Northern Territory,US13,Vermont,Peak,$34.55,$51.85
AS21,Northern Territory,US14,Massachusetts,NonPeak,$30.90,$33.70
AS21,Northern Territory,US14,Massachusetts,Peak,$36.46,$39.77
AS21,Northern Territory,US15,Rhode Island,NonPeak,$15.28,$31.29
AS21,Northern Territory,US15,Rhode Island,Peak,$18.03,$36.92
AS21,Northern Territory,US16,Connecticut,NonPeak,$16.05,$44.05
AS21,Northern Territory,US16,Connecticut,Peak,$18.94,$51.98
AS21,Northern Territory,US17,New York,NonPeak,$16.80,$33.75
AS21,Northern Territory,US17,New York,Peak,$19.82,$39.82
AS21,Northern Territory,US19,New Jersey,NonPeak,$17.57,$31.40
AS21,Northern Territory,US19,New Jersey,Peak,$20.73,$37.05
AS21,Northern Territory,US20,Pennsylvania,NonPeak,$18.33,$44.17
AS21,Northern Territory,US20,Pennsylvania,Peak,$21.63,$52.12
AS21,Northern Territory,US22,Delaware,NonPeak,$24.38,$33.98
AS21,Northern Territory,US22,Delaware,Peak,$28.77,$40.10
AS21,Northern Territory,US23,Maryland,NonPeak,$16.00,$31.45
AS21,Northern Territory,US23,Maryland,Peak,$18.88,$37.11
AS21,Northern Territory,US24,District Of Columbia,NonPeak,$27.63,$44.28
AS21,Northern Territory,US24,District Of Columbia,Peak,$32.60,$52.25
AS21,Northern Territory,US25,Virginia,NonPeak,$29.28,$34.11
AS21,Northern Territory,US25,Virginia,Peak,$34.55,$40.25
AS21,Northern Territory,US27,West Virginia,NonPeak,$30.90,$31.63
AS21,Northern Territory,US27,West Virginia,Peak,$36.46,$37.32
AS21,Northern Territory,US28,Kentucky,NonPeak,$15.28,$44.51
AS21,Northern Territory,US28,Kentucky,Peak,$18.03,$52.52
AS21,Northern Territory,US30,Michigan,NonPeak,$16.05,$34.33
AS21,Northern Territory,US30,Michigan,Peak,$18.94,$40.51
AS21,Northern Territory,US32,Wisconsin,NonPeak,$16.80,$31.74
AS21,Northern Territory,US32,Wisconsin,Peak,$19.82,$37.45
AS21,Northern Territory,US34,Ohio,NonPeak,$17.57,$44.62
AS21,Northern Territory,US34,Ohio,Peak,$20.73,$52.65
AS21,Northern Territory,US36,Indiana,NonPeak,$18.33,$34.45
AS21,Northern Territory,US36,Indiana,Peak,$21.63,$40.65
AS21,Northern Territory,US38,Illinois,NonPeak,$24.38,$31.91
AS21,Northern Territory,US38,Illinois,Peak,$28.77,$37.65
AS21,Northern Territory,US40,North Carolina,NonPeak,$16.00,$44.74
AS21,Northern Territory,US40,North Carolina,Peak,$18.88,$52.79
AS21,Northern Territory,US42,Tennessee,NonPeak,$27.63,$34.56
AS21,Northern Territory,US42,Tennessee,Peak,$32.60,$40.78
AS21,Northern Territory,US44,South Carolina,NonPeak,$29.28,$32.09
AS21,Northern Territory,US44,South Carolina,Peak,$34.55,$37.87
AS21,Northern Territory,US45,Georgia,NonPeak,$30.90,$44.91
AS21,Northern Territory,US45,Georgia,Peak,$36.46,$52.99
AS21,Northern Territory,US47,Alabama,NonPeak,$15.28,$34.74
AS21,Northern Territory,US47,Alabama,Peak,$18.03,$40.99
AS21,Northern Territory,US48,Mississippi,NonPeak,$16.05,$32.26
AS21,Northern Territory,US48,Mississippi,Peak,$18.94,$38.07
AS21,Northern Territory,US49,Florida-North,NonPeak,$16.80,$45.09
AS21,Northern Territory,US49,Florida-North,Peak,$19.82,$53.21
AS21,Northern Territory,US4964400,Florida-South,NonPeak,$17.57,$34.90
AS21,Northern Territory,US4964400,Florida-South,Peak,$20.73,$41.18
AS21,Northern Territory,US4965500,Florida Keys,NonPeak,$18.33,$32.44
AS21,Northern Territory,US4965500,Florida Keys,Peak,$21.63,$38.28
AS21,Northern Territory,US50,Minnesota,NonPeak,$24.38,$43.94
AS21,Northern Territory,US50,Minnesota,Peak,$28.77,$51.85
AS21,Northern Territory,US51,North Dakota,NonPeak,$16.00,$33.70
AS21,Northern Territory,US51,North Dakota,Peak,$18.88,$39.77
AS21,Northern Territory,US52,South Dakota,NonPeak,$27.63,$31.29
AS21,Northern Territory,US52,South Dakota,Peak,$32.60,$36.92
AS21,Northern Territory,US53,Iowa,NonPeak,$29.28,$44.05
AS21,Northern Territory,US53,Iowa,Peak,$34.55,$51.98
AS21,Northern Territory,US55,Nebraska,NonPeak,$30.90,$33.75
AS21,Northern Territory,US55,Nebraska,Peak,$36.46,$39.82
AS21,Northern Territory,US56,Missouri,NonPeak,$15.28,$31.40
AS21,Northern Territory,US56,Missouri,Peak,$18.03,$37.05
AS21,Northern Territory,US58,Kansas,NonPeak,$16.05,$44.17
AS21,Northern Territory,US58,Kansas,Peak,$18.94,$52.12
AS21,Northern Territory,US60,Arkansas,NonPeak,$16.80,$33.98
AS21,Northern Territory,US60,Arkansas,Peak,$19.82,$40.10
AS21,Northern Territory,US62,Oklahoma,NonPeak,$17.57,$31.45
AS21,Northern Territory,US62,Oklahoma,Peak,$20.73,$37.11
AS21,Northern Territory,US64,Louisiana,NonPeak,$18.33,$44.28
AS21,Northern Territory,US64,Louisiana,Peak,$21.63,$52.25
AS21,Northern Territory,US66,Texas-North,NonPeak,$24.38,$34.11
AS21,Northern Territory,US66,Texas-North,Peak,$28.77,$40.25
AS21,Northern Territory,US68,Texas-South,NonPeak,$16.00,$31.63
AS21,Northern Territory,US68,Texas-South,Peak,$18.88,$37.32
AS21,Northern Territory,US70,Montana,NonPeak,$27.63,$44.51
AS21,Northern Territory,US70,Montana,Peak,$32.60,$52.52
AS21,Northern Territory,US72,Wyoming,NonPeak,$29.28,$34.33
AS21,Northern Territory,US72,Wyoming,Peak,$34.55,$40.51
AS21,Northern Territory,US74,Colorado,NonPeak,$30.90,$31.74
AS21,Northern Territory,US74,Colorado,Peak,$36.46,$37.45
AS21,Northern Territory,US76,Utah,NonPeak,$15.28,$44.62
AS21,Northern Territory,US76,Utah,Peak,$18.03,$52.65
AS21,Northern Territory,US77,New Mexico,NonPeak,$16.05,$34.45
AS21,Northern Territory,US77,New Mexico,Peak,$18.94,$40.65
AS21,Northern Territory,US79,Arizona,NonPeak,$16.80,$31.91
AS21,Northern Territory,US79,Arizona,Peak,$19.82,$37.65
AS21,Northern Territory,US83,Idaho,NonPeak,$17.57,$44.74
AS21,Northern Territory,US83,Idaho,Peak,$20.73,$52.79
AS21,Northern Territory,US84,Washington,NonPeak,$18.33,$34.56
AS21,Northern Territory,US84,Washington,Peak,$21.63,$40.78
AS21,Northern Territory,US85,Oregon,NonPeak,$24.38,$32.09
AS21,Northern Territory,US85,Oregon,Peak,$28.77,$37.87
AS21,Northern Territory,US86,Nevada,NonPeak,$16.00,$44.91
AS21,Northern Territory,US86,Nevada,Peak,$18.88,$52.99
AS21,Northern Territory,US87,California-North,NonPeak,$27.63,$34.74
AS21,Northern Territory,US87,California-North,Peak,$32.60,$40.99
AS21,Northern Territory,US88,California-South,NonPeak,$29.28,$32.26
AS21,Northern Territory,US88,California-South,Peak,$34.55,$38.07
BA,Bahrain,US11,Maine,NonPeak,$30.90,$45.09
BA,Bahrain,US11,Maine,Peak,$36.46,$53.21
BA,Bahrain,US12,New Hampshire,NonPeak,$15.28,$34.90
BA,Bahrain,US12,New Hampshire,Peak,$18.03,$41.18
BA,Bahrain,US13,Vermont,NonPeak,$16.05,$32.44
BA,Bahrain,US13,Vermont,Peak,$18.94,$38.28
BA,Bahrain,US14,Massachusetts,NonPeak,$16.80,$43.94
BA,Bahrain,US14,Massachusetts,Peak,$19.82,$51.85
BA,Bahrain,US15,Rhode Island,NonPeak,$17.57,$33.70
BA,Bahrain,US15,Rhode Island,Peak,$20.73,$39.77
BA,Bahrain,US16,Connecticut,NonPeak,$18.33,$31.29
BA,Bahrain,US16,Connecticut,Peak,$21.63,$36.92
BA,Bahrain,US17,New York,NonPeak,$24.38,$44.05
BA,Bahrain,US17,New York,Peak,$28.77,$51.98
BA,Bahrain,US19,New Jersey,NonPeak,$16.00,$33.75
BA,Bahrain,US19,New Jersey,Peak,$18.88,$39.82
BA,Bahrain,US20,Pennsylvania,NonPeak,$27.63,$31.40
BA,Bahrain,US20,Pennsylvania,Peak,$32.60,$37.05
BA,Bahrain,US22,Delaware,NonPeak,$29.28,$44.17
BA,Bahrain,US22,Delaware,Peak,$34.55,$52.12
BA,Bahrain,US23,Maryland,NonPeak,$30.90,$33.98
BA,Bahrain,US23,Maryland,Peak,$36.46,$40.10
BA,Bahrain,US24,District Of Columbia,NonPeak,$15.28,$31.45
BA,Bahrain,US24,District Of Columbia,Peak,$18.03,$37.11
BA,Bahrain,US25,Virginia,NonPeak,$16.05,$44.28
BA,Bahrain,US25,Virginia,Peak,$18.94,$52.25
BA,Bahrain,US27,West Virginia,NonPeak,$16.80,$34.11
BA,Bahrain,US27,West Virginia,Peak,$19.82,$40.25
BA,Bahrain,US28,Kentucky,NonPeak,$17.57,$31.63
BA,Bahrain,US28,Kentucky,Peak,$20.73,$37.32
BA,Bahrain,US30,Michigan,NonPeak,$18.33,$44.51
BA,Bahrain,US30,Michigan,Peak,$21.63,$52.52
BA,Bahrain,US32,Wisconsin,NonPeak,$24.38,$34.33
BA,Bahrain,US32,Wisconsin,Peak,$28.77,$40.51
BA,Bahrain,US34,Ohio,NonPeak,$16.00,$31.74
BA,Bahrain,US34,Ohio,Peak,$18.88,$37.45
BA,Bahrain,US36,Indiana,NonPeak,$27.63,$44.62
BA,Bahrain,US36,Indiana,Peak,$32.60,$52.65
BA,Bahrain,US38,Illinois,NonPeak,$29.28,$34.45
BA,Bahrain,US38,Illinois,Peak,$34.55,$40.65
BA,Bahrain,US40,North Carolina,NonPeak,$30.90,$31.91
BA,Bahrain,US40,North Carolina,Peak,$36.46,$37.65
BA,Bahrain,US42,Tennessee,NonPeak,$15.28,$44.74
BA,Bahrain,US42,Tennessee,Peak,$18.03,$52.79
BA,Bahrain,US44,South Carolina,NonPeak,$16.05,$34.56
BA,Bahrain,US44,South Carolina,Peak,$18.94,$40.78
BA,Bahrain,US45,Georgia,NonPeak,$16.80,$32.09
BA,Bahrain,US45,Georgia,Peak,$19.82,$37.87
BA,Bahrain,US47,Alabama,NonPeak,$17.57,$44.91
BA,Bahrain,US47,Alabama,Peak,$20.73,$52.99
BA,Bahrain,US48,Mississippi,NonPeak,$18.33,$34.74
BA,Bahrain,US48,Mississippi,Peak,$21.63,$40.99
BA,Bahrain,US49,Florida-North,NonPeak,$24.38,$32.26
BA,Bahrain,US49,Florida-North,Peak,$28.77,$38.07
BA,Bahrain,US4964400,Florida-South,NonPeak,$16.00,$45.09
BA,Bahrain,US4964400,Florida-South,Peak,$18.88,$53.21
BA,Bahrain,US4965500,Florida Keys,NonPeak,$27.63,$34.90
BA,Bahrain,US4965500,Florida Keys,Peak,$32.60,$41.18
BA,Bahrain,US50,Minnesota,NonPeak,$29.28,$32.44
BA,Bahrain,US50,Minnesota,Peak,$34.55,$38.28
BA,Bahrain,US51,North Dakota,NonPeak,$30.90,$43.94
BA,Bahrain,US51,North Dakota,Peak,$36.46,$51.85
BA,Bahrain,US52,South Dakota,NonPeak,$15.28,$33.70
BA,Bahrain,US52,South Dakota,Peak,$18.03,$39.77
BA,Bahrain,US53,Iowa,NonPeak,$16.05,$31.29
BA,Bahrain,US53,Iowa,Peak,$18.94,$36.92
BA,Bahrain,US55,Nebraska,NonPeak,$16.80,$44.05
