service_area_number,origin_service_area,services_schedule,season,weight_lower,weight_upper,miles_lower,miles_upper,escalation_number,rate
4.0,"Birmingham, AL",2,Peak,5000,9999,1501,2000,0,$6.730
4.0,"Birmingham, AL",2,Peak,5000,9999,2001,2500,0,$7.252
4.0,"Birmingham, AL",2,Peak,5000,9999,2501,3000,0,$7.773
4.0,"Birmingham, AL",2,Peak,5000,9999,3001,3500,0,$8.294
4.0,"Birmingham, AL",2,Peak,5000,9999,3501,4000,0,$8.816
4.0,"Birmingham, AL",2,Peak,5000,9999,4001,999999,0,$30.610
4.0,"Birmingham, AL",2,Peak,10000,999999,0,250,0,$11.874
4.0,"Birmingham, AL",2,Peak,10000,999999,251,500,0,$12.134
4.0,"Birmingham, AL",2,Peak,10000,999999,501,1000,0,$12.656
4.0,"Birmingham, AL",2,Peak,10000,999999,1001,1500,0,$13.177
4.0,"Birmingham, AL",2,Peak,10000,999999,1501,2000,0,$13.698
4.0,"Birmingham, AL",2,Peak,10000,999999,2001,2500,0,$14.220
4.0,"Birmingham, AL",2,Peak,10000,999999,2501,3000,0,$14.741
4.0,"Birmingham, AL",2,Peak,10000,999999,3001,3500,0,$15.263
4.0,"Birmingham, AL",2,Peak,10000,999999,3501,4000,0,$15.784
4.0,"Birmingham, AL",2,Peak,10000,999999,4001,999999,0,$37.578
8,"Dothan, AL",1,NonPeak,500,4999,0,250,0,$1.845
8,"Dothan, AL",1,NonPeak,500,4999,251,500,0,$2.031
8,"Dothan, AL",1,NonPeak,500,4999,501,1000,0,$2.403
8,"Dothan, AL",1,NonPeak,500,4999,1001,1500,0,$2.776
8,"Dothan, AL",1,NonPeak,500,4999,1501,2000,0,$3.148
8,"Dothan, AL",1,NonPeak,500,4999,2001,2500,0,$3.521
8,"Dothan, AL",1,NonPeak,500,4999,2501,3000,0,$3.893
8,"Dothan, AL",1,NonPeak,500,4999,3001,3500,0,$4.265
8,"Dothan, AL",1,NonPeak,500,4999,3501,4000,0,$4.638
8,"Dothan, AL",1,NonPeak,500,4999,4001,999999,0,$20.205
8,"Dothan, AL",1,NonPeak,5000,9999,0,250,0,$3.504
8,"Dothan, AL",1,NonPeak,5000,9999,251,500,0,$3.690
8,"Dothan, AL",1,NonPeak,5000,9999,501,1000,0,$4.062
8,"Dothan, AL",1,NonPeak,5000,9999,1001,1500,0,$4.435
8,"Dothan, AL",1,NonPeak,5000,9999,1501,2000,0,$4.807
8,"Dothan, AL",1,NonPeak,5000,9999,2001,2500,0,$5.180
8,"Dothan, AL",1,NonPeak,5000,9999,2501,3000,0,$5.552
8,"Dothan, AL",1,NonPeak,5000,9999,3001,3500,0,$5.924
8,"Dothan, AL",1,NonPeak,5000,9999,3501,4000,0,$6.297
8,"Dothan, AL",1,NonPeak,5000,9999,4001,999999,0,$21.864
8,"Dothan, AL",1,NonPeak,10000,999999,0,250,0,$8.481
8,"Dothan, AL",1,NonPeak,10000,999999,251,500,0,$8.667
8,"Dothan, AL",1,NonPeak,10000,999999,501,1000,0,$9.040
8,"Dothan, AL",1,NonPeak,10000,999999,1001,1500,0,$9.412
8,"Dothan, AL",1,NonPeak,10000,999999,1501,2000,0,$9.785
8,"Dothan, AL",1,NonPeak,10000,999999,2001,2500,0,$10.157
8,"Dothan, AL",1,NonPeak,10000,999999,2501,3000,0,$10.529
8,"Dothan, AL",1,NonPeak,10000,999999,3001,3500,0,$10.902
8,"Dothan, AL",1,NonPeak,10000,999999,3501,4000,0,$11.274
8,"Dothan, AL",1,NonPeak,10000,999999,4001,999999,0,$26.841
8,"Dothan, AL",1,Peak,500,4999,0,250,0,$2.003
8,"Dothan, AL",1,Peak,500,4999,251,500,0,$2.205
8,"Dothan, AL",1,Peak,500,4999,501,1000,0,$2.609
8,"Dothan, AL",1,Peak,500,4999,1001,1500,0,$3.014
8,"Dothan, AL",1,Peak,500,4999,1501,2000,0,$3.418
8,"Dothan, AL",1,Peak,500,4999,2001,2500,0,$3.822
8,"Dothan, AL",1,Peak,500,4999,2501,3000,0,$4.227
8,"Dothan, AL",1,Peak,500,4999,3001,3500,0,$4.631
8,"Dothan, AL",1,Peak,500,4999,3501,4000,0,$5.035
8,"Dothan, AL",1,Peak,500,4999,4001,999999,0,$21.937
8,"Dothan, AL",1,Peak,5000,9999,0,250,0,$3.804
8,"Dothan, AL",1,Peak,5000,9999,251,500,0,$4.006
8,"Dothan, AL",1,Peak,5000,9999,501,1000,0,$4.411
8,"Dothan, AL",1,Peak,5000,9999,1001,1500,0,$4.815
8,"Dothan, AL",1,Peak,5000,9999,1501,2000,0,$5.219
8,"Dothan, AL",1,Peak,5000,9999,2001,2500,0,$5.624
8,"Dothan, AL",1,Peak,5000,9999,2501,3000,0,$6.028
8,"Dothan, AL",1,Peak,5000,9999,3001,3500,0,$6.432
8,"Dothan, AL",1,Peak,5000,9999,3501,4000,0,$6.837
8,"Dothan, AL",1,Peak,5000,9999,4001,999999,0,$23.738
8,"Dothan, AL",1,Peak,10000,999999,0,250,0,$9.208
8,"Dothan, AL",1,Peak,10000,999999,251,500,0,$9.410
8,"Dothan, AL",1,Peak,10000,999999,501,1000,0,$9.815
8,"Dothan, AL",1,Peak,10000,999999,1001,1500,0,$10.219
8,"Dothan, AL",1,Peak,10000,999999,1501,2000,0,$10.623
8,"Dothan, AL",1,Peak,10000,999999,2001,2500,0,$11.028
8,"Dothan, AL",1,Peak,10000,999999,2501,3000,0,$11.432
8,"Dothan, AL",1,Peak,10000,999999,3001,3500,0,$11.836
8,"Dothan, AL",1,Peak,10000,999999,3501,4000,0,$12.241
8,"Dothan, AL",1,Peak,10000,999999,4001,999999,0,$29.142
12.0,"Huntsville, AL",1,NonPeak,500,4999,0,250,0,$1.845
12.0,"Huntsville, AL",1,NonPeak,500,4999,251,500,0,$2.031
12.0,"Huntsville, AL",1,NonPeak,500,4999,501,1000,0,$2.403
12.0,"Huntsville, AL",1,NonPeak,500,4999,1001,1500,0,$2.776
12.0,"Huntsville, AL",1,NonPeak,500,4999,1501,2000,0,$3.148
12.0,"Huntsville, AL",1,NonPeak,500,4999,2001,2500,0,$3.521
12.0,"Huntsville, AL",1,NonPeak,500,4999,2501,3000,0,$3.893
12.0,"Huntsville, AL",1,NonPeak,500,4999,3001,3500,0,$4.265
12.0,"Huntsville, AL",1,NonPeak,500,4999,3501,4000,0,$4.638
12.0,"Huntsville, AL",1,NonPeak,500,4999,4001,999999,0,$20.205
12.0,"Huntsville, AL",1,NonPeak,5000,9999,0,250,0,$3.504
12.0,"Huntsville, AL",1,NonPeak,5000,9999,251,500,0,$3.690
12.0,"Huntsville, AL",1,NonPeak,5000,9999,501,1000,0,$4.062
12.0,"Huntsville, AL",1,NonPeak,5000,9999,1001,1500,0,$4.435
12.0,"Huntsville, AL",1,NonPeak,5000,9999,1501,2000,0,$4.807
12.0,"Huntsville, AL",1,NonPeak,5000,9999,2001,2500,0,$5.180
12.0,"Huntsville, AL",1,NonPeak,5000,9999,2501,3000,0,$5.552
12.0,"Huntsville, AL",1,NonPeak,5000,9999,3001,3500,0,$5.924
12.0,"Huntsville, AL",1,NonPeak,5000,9999,3501,4000,0,$6.297
12.0,"Huntsville, AL",1,NonPeak,5000,9999,4001,999999,0,$21.864
12.0,"Huntsville, AL",1,NonPeak,10000,999999,0,250,0,$8.481
12.0,"Huntsville, AL",1,NonPeak,10000,999999,251,500,0,$8.667
12.0,"Huntsville, AL",1,NonPeak,10000,999999,501,1000,0,$9.040
12.0,"Huntsville, AL",1,NonPeak,10000,999999,1001,1500,0,$9.412
12.0,"Huntsville, AL",1,NonPeak,10000,999999,1501,2000,0,$9.785
12.0,"Huntsville, AL",1,NonPeak,10000,999999,2001,2500,0,$10.157
12.0,"Huntsville, AL",1,NonPeak,10000,999999,2501,3000,0,$10.529
12.0,"Huntsville, AL",1,NonPeak,10000,999999,3001,3500,0,$10.902
12.0,"Huntsville, AL",1,NonPeak,10000,999999,3501,4000,0,$11.274
12.0,"Huntsville, AL",1,NonPeak,10000,999999,4001,999999,0,$26.841
12.0,"Huntsville, AL",1,Peak,500,4999,0,250,0,$2.003
12.0,"Huntsville, AL",1,Peak,500,4999,251,500,0,$2.205
12.0,"Huntsville, AL",1,Peak,500,4999,501,1000,0,$2.609
12.0,"Huntsville, AL",1,Peak,500,4999,1001,1500,0,$3.014
12.0,"Huntsville, AL",1,Peak,500,4999,1501,2000,0,$3.418
12.0,"Huntsville, AL",1,Peak,500,4999,2001,2500,0,$3.822
12.0,"Huntsville, AL",1,Peak,500,4999,2501,3000,0,$4.227
12.0,"Huntsville, AL",1,Peak,500,4999,3001,3500,0,$4.631
12.0,"Huntsville, AL",1,Peak,500,4999,3501,4000,0,$5.035
12.0,"Huntsville, AL",1,Peak,500,4999,4001,999999,0,$21.937
12.0,"Huntsville, AL",1,Peak,5000,9999,0,250,0,$3.804
12.0,"Huntsville, AL",1,Peak,5000,9999,251,500,0,$4.006
12.0,"Huntsville, AL",1,Peak,5000,9999,501,1000,0,$4.411
12.0,"Huntsville, AL",1,Peak,5000,9999,1001,1500,0,$4.815
12.0,"Huntsville, AL",1,Peak,5000,9999,1501,2000,0,$5.219
12.0,"Huntsville, AL",1,Peak,5000,9999,2001,2500,0,$5.624
12.0,"Huntsville, AL",1,Peak,5000,9999,2501,3000,0,$6.028
12.0,"Huntsville, AL",1,Peak,5000,9999,3001,3500,0,$6.432
12.0,"Huntsville, AL",1,Peak,5000,9999,3501,4000,0,$6.837
12.0,"Huntsville, AL",1,Peak,5000,9999,4001,999999,0,$23.738
12.0,"Huntsville, AL",1,Peak,10000,999999,0,250,0,$9.208
12.0,"Huntsville, AL",1,Peak,10000,999999,251,500,0,$9.410
12.0,"Huntsville, AL",1,Peak,10000,999999,501,1000,0,$9.815
12.0,"Huntsville, AL",1,Peak,10000,999999,1001,1500,0,$10.219
12.0,"Huntsville, AL",1,Peak,10000,999999,1501,2000,0,$10.623
12.0,"Huntsville, AL",1,Peak,10000,999999,2001,2500,0,$11.028
12.0,"Huntsville, AL",1,Peak,10000,999999,2501,3000,0,$11.432
12.0,"Huntsville, AL",1,Peak,10000,999999,3001,3500,0,$11.836
12.0,"Huntsville, AL",1,Peak,10000,999999,3501,4000,0,$12.241
12.0,"Huntsville, AL",1,Peak,10000,999999,4001,999999,0,$29.142
16.0,"Mobile, AL",1,NonPeak,500,4999,0,250,0,$1.845
16.0,"Mobile, AL",1,NonPeak,500,4999,251,500,0,$2.031
16.0,"Mobile, AL",1,NonPeak,500,4999,501,1000,0,$2.403
16.0,"Mobile, AL",1,NonPeak,500,4999,1001,1500,0,$2.776
16.0,"Mobile, AL",1,NonPeak,500,4999,1501,2000,0,$3.148
16.0,"Mobile, AL",1,NonPeak,500,4999,2001,2500,0,$3.521
16.0,"Mobile, AL",1,NonPeak,500,4999,2501,3000,0,$3.893
16.0,"Mobile, AL",1,NonPeak,500,4999,3001,3500,0,$4.265
16.0,"Mobile, AL",1,NonPeak,500,4999,3501,4000,0,$4.638
16.0,"Mobile, AL",1,NonPeak,500,4999,4001,999999,0,$20.205
16.0,"Mobile, AL",1,NonPeak,5000,9999,0,250,0,$3.504
16.0,"Mobile, AL",1,NonPeak,5000,9999,251,500,0,$3.690
16.0,"Mobile, AL",1,NonPeak,5000,9999,501,1000,0,$4.062
16.0,"Mobile, AL",1,NonPeak,5000,9999,1001,1500,0,$4.435
16.0,"Mobile, AL",1,NonPeak,5000,9999,1501,2000,0,$4.807
16.0,"Mobile, AL",1,NonPeak,5000,9999,2001,2500,0,$5.180
16.0,"Mobile, AL",1,NonPeak,5000,9999,2501,3000,0,$5.552
16.0,"Mobile, AL",1,NonPeak,5000,9999,3001,3500,0,$5.924
16.0,"Mobile, AL",1,NonPeak,5000,9999,3501,4000,0,$6.297
16.0,"Mobile, AL",1,NonPeak,5000,9999,4001,999999,0,$21.864
16.0,"Mobile, AL",1,NonPeak,10000,999999,0,250,0,$8.481
16.0,"Mobile, AL",1,NonPeak,10000,999999,251,500,0,$8.667
16.0,"Mobile, AL",1,NonPeak,10000,999999,501,1000,0,$9.040
16.0,"Mobile, AL",1,NonPeak,10000,999999,1001,1500,0,$9.412
16.0,"Mobile, AL",1,NonPeak,10000,999999,1501,2000,0,$9.785
16.0,"Mobile, AL",1,NonPeak,10000,999999,2001,2500,0,$10.157
16.0,"Mobile, AL",1,NonPeak,10000,999999,2501,3000,0,$10.529
16.0,"Mobile, AL",1,NonPeak,10000,999999,3001,3500,0,$10.902
16.0,"Mobile, AL",1,NonPeak,10000,999999,3501,4000,0,$11.274
16.0,"Mobile, AL",1,NonPeak,10000,999999,4001,999999,0,$26.841
16.0,"Mobile, AL",1,Peak,500,4999,0,250,0,$2.003
16.0,"Mobile, AL",1,Peak,500,4999,251,500,0,$2.205
16.0,"Mobile, AL",1,Peak,500,4999,501,1000,0,$2.609
16.0,"Mobile, AL",1,Peak,500,4999,1001,1500,0,$3.014
16.0,"Mobile, AL",1,Peak,500,4999,1501,2000,0,$3.418
16.0,"Mobile, AL",1,Peak,500,4999,2001,2500,0,$3.822
16.0,"Mobile, AL",1,Peak,500,4999,2501,3000,0,$4.227
16.0,"Mobile, AL",1,Peak,500,4999,3001,3500,0,$4.631
16.0,"Mobile, AL",1,Peak,500,4999,3501,4000,0,$5.035
16.0,"Mobile, AL",1,Peak,500,4999,4001,999999,0,$21.937
16.0,"Mobile, AL",1,Peak,5000,9999,0,250,0,$3.804
16.0,"Mobile, AL",1,Peak,5000,9999,251,500,0,$4.006
16.0,"Mobile, AL",1,Peak,5000,9999,501,1000,0,$4.411
16.0,"Mobile, AL",1,Peak,5000,9999,1001,1500,0,$4.815
16.0,"Mobile, AL",1,Peak,5000,9999,1501,2000,0,$5.219
16.0,"Mobile, AL",1,Peak,5000,9999,2001,2500,0,$5.624
16.0,"Mobile, AL",1,Peak,5000,9999,2501,3000,0,$6.028
16.0,"Mobile, AL",1,Peak,5000,9999,3001,3500,0,$6.432
16.0,"Mobile, AL",1,Peak,5000,9999,3501,4000,0,$6.837
16.0,"Mobile, AL",1,Peak,5000,9999,4001,999999,0,$23.738
16.0,"Mobile, AL",1,Peak,10000,999999,0,250,0,$9.208
16.0,"Mobile, AL",1,Peak,10000,999999,251,500,0,$9.410
16.0,"Mobile, AL",1,Peak,10000,999999,501,1000,0,$9.815
16.0,"Mobile, AL",1,Peak,10000,999999,1001,1500,0,$10.219
16.0,"Mobile, AL",1,Peak,10000,999999,1501,2000,0,$10.623
16.0,"Mobile, AL",1,Peak,10000,999999,2001,2500,0,$11.028
16.0,"Mobile, AL",1,Peak,10000,999999,2501,3000,0,$11.432
16.0,"Mobile, AL",1,Peak,10000,999999,3001,3500,0,$11.836
16.0,"Mobile, AL",1,Peak,10000,999999,3501,4000,0,$12.241
16.0,"Mobile, AL",1,Peak,10000,999999,4001,999999,0,$29.142
20.0,"Montgomery, AL",1,NonPeak,500,4999,0,250,0,$1.845
20.0,"Montgomery, AL",1,NonPeak,500,4999,251,500,0,$2.031
20.0,"Montgomery, AL",1,NonPeak,500,4999,501,1000,0,$2.403
20.0,"Montgomery, AL",1,NonPeak,500,4999,1001,1500,0,$2.776
20.0,"Montgomery, AL",1,NonPeak,500,4999,1501,2000,0,$3.148
20.0,"Montgomery, AL",1,NonPeak,500,4999,2001,2500,0,$3.521
20.0,"Montgomery, AL",1,NonPeak,500,4999,2501,3000,0,$3.893
20.0,"Montgomery, AL",1,NonPeak,500,4999,3001,3500,0,$4.265
20.0,"Montgomery, AL",1,NonPeak,500,4999,3501,4000,0,$4.638
20.0,"Montgomery, AL",1,NonPeak,500,4999,4001,999999,0,$20.205
20.0,"Montgomery, AL",1,NonPeak,5000,9999,0,250,0,$3.504
20.0,"Montgomery, AL",1,NonPeak,5000,9999,251,500,0,$3.690
20.0,"Montgomery, AL",1,NonPeak,5000,9999,501,1000,0,$4.062
20.0,"Montgomery, AL",1,NonPeak,5000,9999,1001,1500,0,$4.435
20.0,"Montgomery, AL",1,NonPeak,5000,9999,1501,2000,0,$4.807
20.0,"Montgomery, AL",1,NonPeak,5000,9999,2001,2500,0,$5.180
20.0,"Montgomery, AL",1,NonPeak,5000,9999,2501,3000,0,$5.552
20.0,"Montgomery, AL",1,NonPeak,5000,9999,3001,3500,0,$5.924
20.0,"Montgomery, AL",1,NonPeak,5000,9999,3501,4000,0,$6.297
20.0,"Montgomery, AL",1,NonPeak,5000,9999,4001,999999,0,$21.864
20.0,"Montgomery, AL",1,NonPeak,10000,999999,0,250,0,$8.481
20.0,"Montgomery, AL",1,NonPeak,10000,999999,251,500,0,$8.667
20.0,"Montgomery, AL",1,NonPeak,10000,999999,501,1000,0,$9.040
20.0,"Montgomery, AL",1,NonPeak,10000,999999,1001,1500,0,$9.412
20.0,"Montgomery, AL",1,NonPeak,10000,999999,1501,2000,0,$9.785
20.0,"Montgomery, AL",1,NonPeak,10000,999999,2001,2500,0,$10.157
20.0,"Montgomery, AL",1,NonPeak,10000,999999,2501,3000,0,$10.529
20.0,"Montgomery, AL",1,NonPeak,10000,999999,3001,3500,0,$10.902
20.0,"Montgomery, AL",1,NonPeak,10000,999999,3501,4000,0,$11.274
20.0,"Montgomery, AL",1,NonPeak,10000,999999,4001,999999,0,$26.841
20.0,"Montgomery, AL",1,Peak,500,4999,0,250,0,$2.003
20.0,"Montgomery, AL",1,Peak,500,4999,251,500,0,$2.205
20.0,"Montgomery, AL",1,Peak,500,4999,501,1000,0,$2.609
20.0,"Montgomery, AL",1,Peak,500,4999,1001,1500,0,$3.014
20.0,"Montgomery, AL",1,Peak,500,4999,1501,2000,0,$3.418
20.0,"Montgomery, AL",1,Peak,500,4999,2001,2500,0,$3.822
20.0,"Montgomery, AL",1,Peak,500,4999,2501,3000,0,$4.227
20.0,"Montgomery, AL",1,Peak,500,4999,3001,3500,0,$4.631
20.0,"Montgomery, AL",1,Peak,500,4999,3501,4000,0,$5.035
20.0,"Montgomery, AL",1,Peak,500,4999,4001,999999,0,$21.937
20.0,"Montgomery, AL",1,Peak,5000,9999,0,250,0,$3.804
20.0,"Montgomery, AL",1,Peak,5000,9999,251,500,0,$4.006
20.0,"Montgomery, AL",1,Peak,5000,9999,501,1000,0,$4.411
20.0,"Montgomery, AL",1,Peak,5000,9999,1001,1500,0,$4.815
20.0,"Montgomery, AL",1,Peak,5000,9999,1501,2000,0,$5.219
20.0,"Montgomery, AL",1,Peak,5000,9999,2001,2500,0,$5.624
20.0,"Montgomery, AL",1,Peak,5000,9999,2501,3000,0,$6.028
20.0,"Montgomery, AL",1,Peak,5000,9999,3001,3500,0,$6.432
20.0,"Montgomery, AL",1,Peak,5000,9999,3501,4000,0,$6.837
20.0,"Montgomery, AL",1,Peak,5000,9999,4001,999999,0,$23.738
20.0,"Montgomery, AL",1,Peak,10000,999999,0,250,0,$9.208
20.0,"Montgomery, AL",1,Peak,10000,999999,251,500,0,$9.410
20.0,"Montgomery, AL",1,Peak,10000,999999,501,1000,0,$9.815
20.0,"Montgomery, AL",1,Peak,10000,999999,1001,1500,0,$10.219
20.0,"Montgomery, AL",1,Peak,10000,999999,1501,2000,0,$10.623
20.0,"Montgomery, AL",1,Peak,10000,999999,2001,2500,0,$11.028
20.0,"Montgomery, AL",1,Peak,10000,999999,2501,3000,0,$11.432
20.0,"Montgomery, AL",1,Peak,10000,999999,3001,3500,0,$11.836
20.0,"Montgomery, AL",1,Peak,10000,999999,3501,4000,0,$12.241
20.0,"Montgomery, AL",1,Peak,10000,999999,4001,999999,0,$29.142
24.0,"Flagstaff, AZ",3,NonPeak,500,4999,0,250,0,$2.899
24.0,"Flagstaff, AZ",3,NonPeak,500,4999,251,500,0,$3.192
24.0,"Flagstaff, AZ",3,NonPeak,500,4999,501,1000,0,$3.777
24.0,"Flagstaff, AZ",3,NonPeak,500,4999,1001,1500,0,$4.362
24.0,"Flagstaff, AZ",3,NonPeak,500,4999,1501,2000,0,$4.947
24.0,"Flagstaff, AZ",3,NonPeak,500,4999,2001,2500,0,$5.532
24.0,"Flagstaff, AZ",3,NonPeak,500,4999,2501,3000,0,$6.118
24.0,"Flagstaff, AZ",3,NonPeak,500,4999,3001,3500,0,$6.703
24.0,"Flagstaff, AZ",3,NonPeak,500,4999,3501,4000,0,$7.288
24.0,"Flagstaff, AZ",3,NonPeak,500,4999,4001,999999,0,$31.751
24.0,"Flagstaff, AZ",3,NonPeak,5000,9999,0,250,0,$5.506
24.0,"Flagstaff, AZ",3,NonPeak,5000,9999,251,500,0,$5.799
24.0,"Flagstaff, AZ",3,NonPeak,5000,9999,501,1000,0,$6.384
24.0,"Flagstaff, AZ",3,NonPeak,5000,9999,1001,1500,0,$6.969
24.0,"Flagstaff, AZ",3,NonPeak,5000,9999,1501,2000,0,$7.554
24.0,"Flagstaff, AZ",3,NonPeak,5000,9999,2001,2500,0,$8.139
24.0,"Flagstaff, AZ",3,NonPeak,5000,9999,2501,3000,0,$8.725
24.0,"Flagstaff, AZ",3,NonPeak,5000,9999,3001,3500,0,$9.310
24.0,"Flagstaff, AZ",3,NonPeak,5000,9999,3501,4000,0,$9.895
24.0,"Flagstaff, AZ",3,NonPeak,5000,9999,4001,999999,0,$34.358
24.0,"Flagstaff, AZ",3,NonPeak,10000,999999,0,250,0,$13.328
24.0,"Flagstaff, AZ",3,NonPeak,10000,999999,251,500,0,$13.620
24.0,"Flagstaff, AZ",3,NonPeak,10000,999999,501,1000,0,$14.205
24.0,"Flagstaff, AZ",3,NonPeak,10000,999999,1001,1500,0,$14.791
24.0,"Flagstaff, AZ",3,NonPeak,10000,999999,1501,2000,0,$15.376
24.0,"Flagstaff, AZ",3,NonPeak,10000,999999,2001,2500,0,$15.961
24.0,"Flagstaff, AZ",3,NonPeak,10000,999999,2501,3000,0,$16.546
24.0,"Flagstaff, AZ",3,NonPeak,10000,999999,3001,3500,0,$17.131
24.0,"Flagstaff, AZ",3,NonPeak,10000,999999,3501,4000,0,$17.717
24.0,"Flagstaff, AZ",3,NonPeak,10000,999999,4001,999999,0,$42.179
24.0,"Flagstaff, AZ",3,Peak,500,4999,0,250,0,$3.426
24.0,"Flagstaff, AZ",3,Peak,500,4999,251,500,0,$3.772
24.0,"Flagstaff, AZ",3,Peak,500,4999,501,1000,0,$4.464
24.0,"Flagstaff, AZ",3,Peak,500,4999,1001,1500,0,$5.155
24.0,"Flagstaff, AZ",3,Peak,500,4999,1501,2000,0,$5.847
24.0,"Flagstaff, AZ",3,Peak,500,4999,2001,2500,0,$6.538
24.0,"Flagstaff, AZ",3,Peak,500,4999,2501,3000,0,$7.230
24.0,"Flagstaff, AZ",3,Peak,500,4999,3001,3500,0,$7.922
24.0,"Flagstaff, AZ",3,Peak,500,4999,3501,4000,0,$8.613
24.0,"Flagstaff, AZ",3,Peak,500,4999,4001,999999,0,$37.523
24.0,"Flagstaff, AZ",3,Peak,5000,9999,0,250,0,$6.507
24.0,"Flagstaff, AZ",3,Peak,5000,9999,251,500,0,$6.853
24.0,"Flagstaff, AZ",3,Peak,5000,9999,501,1000,0,$7.545
24.0,"Flagstaff, AZ",3,Peak,5000,9999,1001,1500,0,$8.236
24.0,"Flagstaff, AZ",3,Peak,5000,9999,1501,2000,0,$8.928
24.0,"Flagstaff, AZ",3,Peak,5000,9999,2001,2500,0,$9.619
24.0,"Flagstaff, AZ",3,Peak,5000,9999,2501,3000,0,$10.311
24.0,"Flagstaff, AZ",3,Peak,5000,9999,3001,3500,0,$11.003
24.0,"Flagstaff, AZ",3,Peak,5000,9999,3501,4000,0,$11.694
24.0,"Flagstaff, AZ",3,Peak,5000,9999,4001,999999,0,$40.604
24.0,"Flagstaff, AZ",3,Peak,10000,999999,0,250,0,$15.751
24.0,"Flagstaff, AZ",3,Peak,10000,999999,251,500,0,$16.097
24.0,"Flagstaff, AZ",3,Peak,10000,999999,501,1000,0,$16.788
24.0,"Flagstaff, AZ",3,Peak,10000,999999,1001,1500,0,$17.480
24.0,"Flagstaff, AZ",3,Peak,10000,999999,1501,2000,0,$18.171
24.0,"Flagstaff, AZ",3,Peak,10000,999999,2001,2500,0,$18.863
24.0,"Flagstaff, AZ",3,Peak,10000,999999,2501,3000,0,$19.555
