origin_id,origin_area,destination_id,destination_area,move_type,season,hhg_price,ub_price
NSRA6,South America,NSRA14,Australia & New Zealand,NSRA to NSRA,Peak,$61.03,$52.60
NSRA6,South America,NSRA15,Alaska - All other areas,NSRA to NSRA,NonPeak,$51.29,$61.80
NSRA6,South America,NSRA15,Alaska - All other areas,NSRA to NSRA,Peak,$60.52,$72.92
NSRA7,Europe,NSRA1,Canada West,NSRA to NSRA,NonPeak,$47.93,$47.76
NSRA7,Europe,NSRA1,Canada West,NSRA to NSRA,Peak,$56.56,$56.36
NSRA7,Europe,NSRA2,Canada Central,NSRA to NSRA,NonPeak,$47.42,$44.24
NSRA7,Europe,NSRA2,Canada Central,NSRA to NSRA,Peak,$55.96,$52.20
NSRA7,Europe,NSRA3,Canada East,NSRA to NSRA,NonPeak,$48.21,$61.92
NSRA7,Europe,NSRA3,Canada East,NSRA to NSRA,Peak,$56.89,$73.07
NSRA7,Europe,NSRA4,Mexico & Central America,NSRA to NSRA,NonPeak,$48.49,$47.93
NSRA7,Europe,NSRA4,Mexico & Central America,NSRA to NSRA,Peak,$57.22,$56.56
NSRA7,Europe,NSRA5,Caribbean Islands,NSRA to NSRA,NonPeak,$48.72,$44.58
NSRA7,Europe,NSRA5,Caribbean Islands,NSRA to NSRA,Peak,$57.49,$52.60
NSRA7,Europe,NSRA6,South America,NSRA to NSRA,NonPeak,$71.44,$61.80
NSRA7,Europe,NSRA6,South America,NSRA to NSRA,Peak,$84.30,$72.92
NSRA7,Europe,NSRA7,Europe,NSRA to NSRA,NonPeak,$71.61,$47.76
NSRA7,Europe,NSRA7,Europe,NSRA to NSRA,Peak,$84.50,$56.36
NSRA7,Europe,NSRA8,Africa - North,NSRA to NSRA,NonPeak,$71.89,$44.24
NSRA7,Europe,NSRA8,Africa - North,NSRA to NSRA,Peak,$84.83,$52.20
NSRA7,Europe,NSRA9,Africa - South,NSRA to NSRA,NonPeak,$72.68,$61.92
NSRA7,Europe,NSRA9,Africa - South,NSRA to NSRA,Peak,$85.76,$73.07
NSRA7,Europe,NSRA10,Middle East,NSRA to NSRA,NonPeak,$15.28,$47.93
NSRA7,Europe,NSRA10,Middle East,NSRA to NSRA,Peak,$18.03,$56.56
NSRA7,Europe,NSRA11,Asia,NSRA to NSRA,NonPeak,$16.05,$44.58
NSRA7,Europe,NSRA11,Asia,NSRA to NSRA,Peak,$18.94,$52.60
NSRA7,Europe,NSRA12,Asia - South,NSRA to NSRA,NonPeak,$16.80,$43.94
NSRA7,Europe,NSRA12,Asia - South,NSRA to NSRA,Peak,$19.82,$51.85
NSRA7,Europe,NSRA13,Pacific Islands,NSRA to NSRA,NonPeak,$17.57,$33.70
NSRA7,Europe,NSRA13,Pacific Islands,NSRA to NSRA,Peak,$20.73,$39.77
NSRA7,Europe,NSRA14,Australia & New Zealand,NSRA to NSRA,NonPeak,$18.33,$31.29
NSRA7,Europe,NSRA14,Australia & New Zealand,NSRA to NSRA,Peak,$21.63,$36.92
NSRA7,Europe,NSRA15,Alaska - All other areas,NSRA to NSRA,NonPeak,$24.38,$44.05
NSRA7,Europe,NSRA15,Alaska - All other areas,NSRA to NSRA,Peak,$28.77,$51.98
NSRA8,Africa - North,NSRA1,Canada West,NSRA to NSRA,NonPeak,$16.00,$33.75
NSRA8,Africa - North,NSRA1,Canada West,NSRA to NSRA,Peak,$18.88,$39.82
NSRA8,Africa - North,NSRA2,Canada Central,NSRA to NSRA,NonPeak,$27.63,$31.40
NSRA8,Africa - North,NSRA2,Canada Central,NSRA to NSRA,Peak,$32.60,$37.05
NSRA8,Africa - North,NSRA3,Canada East,NSRA to NSRA,NonPeak,$29.28,$44.17
NSRA8,Africa - North,NSRA3,Canada East,NSRA to NSRA,Peak,$34.55,$52.12
NSRA8,Africa - North,NSRA4,Mexico & Central America,NSRA to NSRA,NonPeak,$30.90,$16.89
NSRA8,Africa - North,NSRA4,Mexico & Central America,NSRA to NSRA,Peak,$36.46,$19.93
NSRA8,Africa - North,NSRA5,Caribbean Islands,NSRA to NSRA,NonPeak,$10.35,$11.66
NSRA8,Africa - North,NSRA5,Caribbean Islands,NSRA to NSRA,Peak,$12.21,$13.76
NSRA8,Africa - North,NSRA6,South America,NSRA to NSRA,NonPeak,$10.83,$10.16
NSRA8,Africa - North,NSRA6,South America,NSRA to NSRA,Peak,$12.78,$11.99
NSRA8,Africa - North,NSRA7,Europe,NSRA to NSRA,NonPeak,$11.35,$16.98
NSRA8,Africa - North,NSRA7,Europe,NSRA to NSRA,Peak,$13.39,$20.04
NSRA8,Africa - North,NSRA8,Africa - North,NSRA to NSRA,NonPeak,$11.82,$11.75
NSRA8,Africa - North,NSRA8,Africa - North,NSRA to NSRA,Peak,$13.95,$13.86
NSRA8,Africa - North,NSRA9,Africa - South,NSRA to NSRA,NonPeak,$8.88,$10.25
NSRA8,Africa - North,NSRA9,Africa - South,NSRA to NSRA,Peak,$10.48,$12.09
NSRA8,Africa - North,NSRA10,Middle East,NSRA to NSRA,NonPeak,$9.31,$17.11
NSRA8,Africa - North,NSRA10,Middle East,NSRA to NSRA,Peak,$10.99,$20.19
NSRA8,Africa - North,NSRA11,Asia,NSRA to NSRA,NonPeak,$9.77,$11.86
NSRA8,Africa - North,NSRA11,Asia,NSRA to NSRA,Peak,$11.53,$13.99
NSRA8,Africa - North,NSRA12,Asia - South,NSRA to NSRA,NonPeak,$10.21,$10.37
NSRA8,Africa - North,NSRA12,Asia - South,NSRA to NSRA,Peak,$12.05,$12.24
NSRA8,Africa - North,NSRA13,Pacific Islands,NSRA to NSRA,NonPeak,$10.65,$17.17
NSRA8,Africa - North,NSRA13,Pacific Islands,NSRA to NSRA,Peak,$12.57,$20.26
NSRA8,Africa - North,NSRA14,Australia & New Zealand,NSRA to NSRA,NonPeak,$51.01,$10.50
NSRA8,Africa - North,NSRA14,Australia & New Zealand,NSRA to NSRA,Peak,$60.19,$12.39
NSRA8,Africa - North,NSRA15,Alaska - All other areas,NSRA to NSRA,NonPeak,$51.21,$17.59
NSRA8,Africa - North,NSRA15,Alaska - All other areas,NSRA to NSRA,Peak,$60.43,$20.76
NSRA9,Africa - South,NSRA1,Canada West,NSRA to NSRA,NonPeak,$51.55,$12.03
NSRA9,Africa - South,NSRA1,Canada West,NSRA to NSRA,Peak,$60.83,$14.20
NSRA9,Africa - South,NSRA2,Canada Central,NSRA to NSRA,NonPeak,$51.72,$12.66
NSRA9,Africa - South,NSRA2,Canada Central,NSRA to NSRA,Peak,$61.03,$14.94
NSRA9,Africa - South,NSRA3,Canada East,NSRA to NSRA,NonPeak,$51.29,$61.92
NSRA9,Africa - South,NSRA3,Canada East,NSRA to NSRA,Peak,$60.52,$73.07
NSRA9,Africa - South,NSRA4,Mexico & Central America,NSRA to NSRA,NonPeak,$47.93,$47.93
NSRA9,Africa - South,NSRA4,Mexico & Central America,NSRA to NSRA,Peak,$56.56,$56.56
NSRA9,Africa - South,NSRA5,Caribbean Islands,NSRA to NSRA,NonPeak,$47.42,$44.58
NSRA9,Africa - South,NSRA5,Caribbean Islands,NSRA to NSRA,Peak,$55.96,$52.60
NSRA9,Africa - South,NSRA6,South America,NSRA to NSRA,NonPeak,$48.21,$61.80
NSRA9,Africa - South,NSRA6,South America,NSRA to NSRA,Peak,$56.89,$72.92
NSRA9,Africa - South,NSRA7,Europe,NSRA to NSRA,NonPeak,$48.49,$47.76
NSRA9,Africa - South,NSRA7,Europe,NSRA to NSRA,Peak,$57.22,$56.36
NSRA9,Africa - South,NSRA8,Africa - North,NSRA to NSRA,NonPeak,$48.72,$44.24
NSRA9,Africa - South,NSRA8,Africa - North,NSRA to NSRA,Peak,$57.49,$52.20
NSRA9,Africa - South,NSRA9,Africa - South,NSRA to NSRA,NonPeak,$71.44,$61.92
NSRA9,Africa - South,NSRA9,Africa - South,NSRA to NSRA,Peak,$84.30,$73.07
NSRA9,Africa - South,NSRA10,Middle East,NSRA to NSRA,NonPeak,$71.61,$47.93
NSRA9,Africa - South,NSRA10,Middle East,NSRA to NSRA,Peak,$84.50,$56.56
NSRA9,Africa - South,NSRA11,Asia,NSRA to NSRA,NonPeak,$71.89,$44.58
NSRA9,Africa - South,NSRA11,Asia,NSRA to NSRA,Peak,$84.83,$52.60
NSRA9,Africa - South,NSRA12,Asia - South,NSRA to NSRA,NonPeak,$72.68,$61.80
NSRA9,Africa - South,NSRA12,Asia - South,NSRA to NSRA,Peak,$85.76,$72.92
NSRA9,Africa - South,NSRA13,Pacific Islands,NSRA to NSRA,NonPeak,$15.28,$47.76
NSRA9,Africa - South,NSRA13,Pacific Islands,NSRA to NSRA,Peak,$18.03,$56.36
NSRA9,Africa - South,NSRA14,Australia & New Zealand,NSRA to NSRA,NonPeak,$16.05,$44.24
NSRA9,Africa - South,NSRA14,Australia & New Zealand,NSRA to NSRA,Peak,$18.94,$52.20
NSRA9,Africa - South,NSRA15,Alaska - All other areas,NSRA to NSRA,NonPeak,$16.80,$61.92
NSRA9,Africa - South,NSRA15,Alaska - All other areas,NSRA to NSRA,Peak,$19.82,$73.07
NSRA10,Middle East,NSRA1,Canada West,NSRA to NSRA,NonPeak,$17.57,$47.93
NSRA10,Middle East,NSRA1,Canada West,NSRA to NSRA,Peak,$20.73,$56.56
NSRA10,Middle East,NSRA2,Canada Central,NSRA to NSRA,NonPeak,$18.33,$44.58
NSRA10,Middle East,NSRA2,Canada Central,NSRA to NSRA,Peak,$21.63,$52.60
NSRA10,Middle East,NSRA3,Canada East,NSRA to NSRA,NonPeak,$24.38,$43.94
NSRA10,Middle East,NSRA3,Canada East,NSRA to NSRA,Peak,$28.77,$51.85
NSRA10,Middle East,NSRA4,Mexico & Central America,NSRA to NSRA,NonPeak,$16.00,$33.70
NSRA10,Middle East,NSRA4,Mexico & Central America,NSRA to NSRA,Peak,$18.88,$39.77
NSRA10,Middle East,NSRA5,Caribbean Islands,NSRA to NSRA,NonPeak,$27.63,$31.29
NSRA10,Middle East,NSRA5,Caribbean Islands,NSRA to NSRA,Peak,$32.60,$36.92
NSRA10,Middle East,NSRA6,South America,NSRA to NSRA,NonPeak,$29.28,$44.05
NSRA10,Middle East,NSRA6,South America,NSRA to NSRA,Peak,$34.55,$51.98
