Service Area Number,Origin Serivce Area,Service Schedule,Season,Weight Band ID,Lower Lbs,Upper Lbs,Lower Cwt,Upper Cwt,Mileage Range ID,Lower Miles,Upper Miles,Escalation Number,Rate
8,"Dothan, AL",1,Peak,2,5000,9999,50.00,99.99,8,3001,3500,0,6.432
8,"Dothan, AL",1,Peak,2,5000,9999,50.00,99.99,9,3501,4000,0,6.837
8,"Dothan, AL",1,Peak,2,5000,9999,50.00,99.99,10,4001,999999,0,23.738
8,"Dothan, AL",1,Peak,3,10000,999999,100.00,9999.99,1,0,250,0,9.208
8,"Dothan, AL",1,Peak,3,10000,999999,100.00,9999.99,2,251,500,0,9.41
8,"Dothan, AL",1,Peak,3,10000,999999,100.00,9999.99,3,501,1000,0,9.815
8,"Dothan, AL",1,Peak,3,10000,999999,100.00,9999.99,4,1001,1500,0,10.219
8,"Dothan, AL",1,Peak,3,10000,999999,100.00,9999.99,5,1501,2000,0,10.623
8,"Dothan, AL",1,Peak,3,10000,999999,100.00,9999.99,6,2001,2500,0,11.028
8,"Dothan, AL",1,Peak,3,10000,999999,100.00,9999.99,7,2501,3000,0,11.432
8,"Dothan, AL",1,Peak,3,10000,999999,100.00,9999.99,8,3001,3500,0,11.836
8,"Dothan, AL",1,Peak,3,10000,999999,100.00,9999.99,9,3501,4000,0,12.241
8,"Dothan, AL",1,Peak,3,10000,999999,100.00,9999.99,10,4001,999999,0,29.142
12,"Huntsville, AL",1,NonPeak,1,500,4999,5.00,49.99,1,0,250,0,1.845
12,"Huntsville, AL",1,NonPeak,1,500,4999,5.00,49.99,2,251,500,0,2.031
12,"Huntsville, AL",1,NonPeak,1,500,4999,5.00,49.99,3,501,1000,0,2.403
12,"Huntsville, AL",1,NonPeak,1,500,4999,5.00,49.99,4,1001,1500,0,2.776
12,"Huntsville, AL",1,NonPeak,1,500,4999,5.00,49.99,5,1501,2000,0,3.148
12,"Huntsville, AL",1,NonPeak,1,500,4999,5.00,49.99,6,2001,2500,0,3.521
12,"Huntsville, AL",1,NonPeak,1,500,4999,5.00,49.99,7,2501,3000,0,3.893
12,"Huntsville, AL",1,NonPeak,1,500,4999,5.00,49.99,8,3001,3500,0,4.265
12,"Huntsville, AL",1,NonPeak,1,500,4999,5.00,49.99,9,3501,4000,0,4.638
12,"Huntsville, AL",1,NonPeak,1,500,4999,5.00,49.99,10,4001,999999,0,20.205
12,"Huntsville, AL",1,NonPeak,2,5000,9999,50.00,99.99,1,0,250,0,3.504
12,"Huntsville, AL",1,NonPeak,2,5000,9999,50.00,99.99,2,251,500,0,3.69
12,"Huntsville, AL",1,NonPeak,2,5000,9999,50.00,99.99,3,501,1000,0,4.062
12,"Huntsville, AL",1,NonPeak,2,5000,9999,50.00,99.99,4,1001,1500,0,4.435
12,"Huntsville, AL",1,NonPeak,2,5000,9999,50.00,99.99,5,1501,2000,0,4.807
12,"Huntsville, AL",1,NonPeak,2,5000,9999,50.00,99.99,6,2001,2500,0,5.18
12,"Huntsville, AL",1,NonPeak,2,5000,9999,50.00,99.99,7,2501,3000,0,5.552
12,"Huntsville, AL",1,NonPeak,2,5000,9999,50.00,99.99,8,3001,3500,0,5.924
12,"Huntsville, AL",1,NonPeak,2,5000,9999,50.00,99.99,9,3501,4000,0,6.297
12,"Huntsville, AL",1,NonPeak,2,5000,9999,50.00,99.99,10,4001,999999,0,21.864
12,"Huntsville, AL",1,NonPeak,3,10000,999999,100.00,9999.99,1,0,250,0,8.481
12,"Huntsville, AL",1,NonPeak,3,10000,999999,100.00,9999.99,2,251,500,0,8.667
12,"Huntsville, AL",1,NonPeak,3,10000,999999,100.00,9999.99,3,501,1000,0,9.04
12,"Huntsville, AL",1,NonPeak,3,10000,999999,100.00,9999.99,4,1001,1500,0,9.412
12,"Huntsville, AL",1,NonPeak,3,10000,999999,100.00,9999.99,5,1501,2000,0,9.785
12,"Huntsville, AL",1,NonPeak,3,10000,999999,100.00,9999.99,6,2001,2500,0,10.157
12,"Huntsville, AL",1,NonPeak,3,10000,999999,100.00,9999.99,7,2501,3000,0,10.529
12,"Huntsville, AL",1,NonPeak,3,10000,999999,100.00,9999.99,8,3001,3500,0,10.902
12,"Huntsville, AL",1,NonPeak,3,10000,999999,100.00,9999.99,9,3501,4000,0,11.274
12,"Huntsville, AL",1,NonPeak,3,10000,999999,100.00,9999.99,10,4001,999999,0,26.841
12,"Huntsville, AL",1,Peak,1,500,4999,5.00,49.99,1,0,250,0,2.003
12,"Huntsville, AL",1,Peak,1,500,4999,5.00,49.99,2,251,500,0,2.205
12,"Huntsville, AL",1,Peak,1,500,4999,5.00,49.99,3,501,1000,0,2.609
12,"Huntsville, AL",1,Peak,1,500,4999,5.00,49.99,4,1001,1500,0,3.014
12,"Huntsville, AL",1,Peak,1,500,4999,5.00,49.99,5,1501,2000,0,3.418
12,"Huntsville, AL",1,Peak,1,500,4999,5.00,49.99,6,2001,2500,0,3.822
12,"Huntsville, AL",1,Peak,1,500,4999,5.00,49.99,7,2501,3000,0,4.227
12,"Huntsville, AL",1,Peak,1,500,4999,5.00,49.99,8,3001,3500,0,4.631
12,"Huntsville, AL",1,Peak,1,500,4999,5.00,49.99,9,3501,4000,0,5.035
12,"Huntsville, AL",1,Peak,1,500,4999,5.00,49.99,10,4001,999999,0,21.937
12,"Huntsville, AL",1,Peak,2,5000,9999,50.00,99.99,1,0,250,0,3.804
12,"Huntsville, AL",1,Peak,2,5000,9999,50.00,99.99,2,251,500,0,4.006
12,"Huntsville, AL",1,Peak,2,5000,9999,50.00,99.99,3,501,1000,0,4.411
12,"Huntsville, AL",1,Peak,2,5000,9999,50.00,99.99,4,1001,1500,0,4.815
12,"Huntsville, AL",1,Peak,2,5000,9999,50.00,99.99,5,1501,2000,0,5.219
12,"Huntsville, AL",1,Peak,2,5000,9999,50.00,99.99,6,2001,2500,0,5.624
12,"Huntsville, AL",1,Peak,2,5000,9999,50.00,99.99,7,2501,3000,0,6.028
12,"Huntsville, AL",1,Peak,2,5000,9999,50.00,99.99,8,3001,3500,0,6.432
12,"Huntsville, AL",1,Peak,2,5000,9999,50.00,99.99,9,3501,4000,0,6.837
12,"Huntsville, AL",1,Peak,2,5000,9999,50.00,99.99,10,4001,999999,0,23.738
12,"Huntsville, AL",1,Peak,3,10000,999999,100.00,9999.99,1,0,250,0,9.208
12,"Huntsville, AL",1,Peak,3,10000,999999,100.00,9999.99,2,251,500,0,9.41
12,"Huntsville, AL",1,Peak,3,10000,999999,100.00,9999.99,3,501,1000,0,9.815
12,"Huntsville, AL",1,Peak,3,10000,999999,100.00,9999.99,4,1001,1500,0,10.219
12,"Huntsville, AL",1,Peak,3,10000,999999,100.00,9999.99,5,1501,2000,0,10.623
12,"Huntsville, AL",1,Peak,3,10000,999999,100.00,9999.99,6,2001,2500,0,11.028
12,"Huntsville, AL",1,Peak,3,10000,999999,100.00,9999.99,7,2501,3000,0,11.432
12,"Huntsville, AL",1,Peak,3,10000,999999,100.00,9999.99,8,3001,3500,0,11.836
12,"Huntsville, AL",1,Peak,3,10000,999999,100.00,9999.99,9,3501,4000,0,12.241
12,"Huntsville, AL",1,Peak,3,10000,999999,100.00,9999.99,10,4001,999999,0,29.142
16,"Mobile, AL",1,NonPeak,1,500,4999,5.00,49.99,1,0,250,0,1.845
16,"Mobile, AL",1,NonPeak,1,500,4999,5.00,49.99,2,251,500,0,2.031
16,"Mobile, AL",1,NonPeak,1,500,4999,5.00,49.99,3,501,1000,0,2.403
16,"Mobile, AL",1,NonPeak,1,500,4999,5.00,49.99,4,1001,1500,0,2.776
16,"Mobile, AL",1,NonPeak,1,500,4999,5.00,49.99,5,1501,2000,0,3.148
16,"Mobile, AL",1,NonPeak,1,500,4999,5.00,49.99,6,2001,2500,0,3.521
16,"Mobile, AL",1,NonPeak,1,500,4999,5.00,49.99,7,2501,3000,0,3.893
16,"Mobile, AL",1,NonPeak,1,500,4999,5.00,49.99,8,3001,3500,0,4.265
16,"Mobile, AL",1,NonPeak,1,500,4999,5.00,49.99,9,3501,4000,0,4.638
16,"Mobile, AL",1,NonPeak,1,500,4999,5.00,49.99,10,4001,999999,0,20.205
16,"Mobile, AL",1,NonPeak,2,5000,9999,50.00,99.99,1,0,250,0,3.504
16,"Mobile, AL",1,NonPeak,2,5000,9999,50.00,99.99,2,251,500,0,3.69
16,"Mobile, AL",1,NonPeak,2,5000,9999,50.00,99.99,3,501,1000,0,4.062
16,"Mobile, AL",1,NonPeak,2,5000,9999,50.00,99.99,4,1001,1500,0,4.435
16,"Mobile, AL",1,NonPeak,2,5000,9999,50.00,99.99,5,1501,2000,0,4.807
16,"Mobile, AL",1,NonPeak,2,5000,9999,50.00,99.99,6,2001,2500,0,5.18
16,"Mobile, AL",1,NonPeak,2,5000,9999,50.00,99.99,7,2501,3000,0,5.552
16,"Mobile, AL",1,NonPeak,2,5000,9999,50.00,99.99,8,3001,3500,0,5.924
16,"Mobile, AL",1,NonPeak,2,5000,9999,50.00,99.99,9,3501,4000,0,6.297
16,"Mobile, AL",1,NonPeak,2,5000,9999,50.00,99.99,10,4001,999999,0,21.864
16,"Mobile, AL",1,NonPeak,3,10000,999999,100.00,9999.99,1,0,250,0,8.481
16,"Mobile, AL",1,NonPeak,3,10000,999999,100.00,9999.99,2,251,500,0,8.667
16,"Mobile, AL",1,NonPeak,3,10000,999999,100.00,9999.99,3,501,1000,0,9.04
16,"Mobile, AL",1,NonPeak,3,10000,999999,100.00,9999.99,4,1001,1500,0,9.412
16,"Mobile, AL",1,NonPeak,3,10000,999999,100.00,9999.99,5,1501,2000,0,9.785
16,"Mobile, AL",1,NonPeak,3,10000,999999,100.00,9999.99,6,2001,2500,0,10.157
16,"Mobile, AL",1,NonPeak,3,10000,999999,100.00,9999.99,7,2501,3000,0,10.529
16,"Mobile, AL",1,NonPeak,3,10000,999999,100.00,9999.99,8,3001,3500,0,10.902
16,"Mobile, AL",1,NonPeak,3,10000,999999,100.00,9999.99,9,3501,4000,0,11.274
16,"Mobile, AL",1,NonPeak,3,10000,999999,100.00,9999.99,10,4001,999999,0,26.841
16,"Mobile, AL",1,Peak,1,500,4999,5.00,49.99,1,0,250,0,2.003
16,"Mobile, AL",1,Peak,1,500,4999,5.00,49.99,2,251,500,0,2.205
16,"Mobile, AL",1,Peak,1,500,4999,5.00,49.99,3,501,1000,0,2.609
16,"Mobile, AL",1,Peak,1,500,4999,5.00,49.99,4,1001,1500,0,3.014
16,"Mobile, AL",1,Peak,1,500,4999,5.00,49.99,5,1501,2000,0,3.418
16,"Mobile, AL",1,Peak,1,500,4999,5.00,49.99,6,2001,2500,0,3.822
16,"Mobile, AL",1,Peak,1,500,4999,5.00,49.99,7,2501,3000,0,4.227
16,"Mobile, AL",1,Peak,1,500,4999,5.00,49.99,8,3001,3500,0,4.631
16,"Mobile, AL",1,Peak,1,500,4999,5.00,49.99,9,3501,4000,0,5.035
16,"Mobile, AL",1,Peak,1,500,4999,5.00,49.99,10,4001,999999,0,21.937
16,"Mobile, AL",1,Peak,2,5000,9999,50.00,99.99,1,0,250,0,3.804
16,"Mobile, AL",1,Peak,2,5000,9999,50.00,99.99,2,251,500,0,4.006
16,"Mobile, AL",1,Peak,2,5000,9999,50.00,99.99,3,501,1000,0,4.411
16,"Mobile, AL",1,Peak,2,5000,9999,50.00,99.99,4,1001,1500,0,4.815
16,"Mobile, AL",1,Peak,2,5000,9999,50.00,99.99,5,1501,2000,0,5.219
16,"Mobile, AL",1,Peak,2,5000,9999,50.00,99.99,6,2001,2500,0,5.624
16,"Mobile, AL",1,Peak,2,5000,9999,50.00,99.99,7,2501,3000,0,6.028
16,"Mobile, AL",1,Peak,2,5000,9999,50.00,99.99,8,3001,3500,0,6.432
16,"Mobile, AL",1,Peak,2,5000,9999,50.00,99.99,9,3501,4000,0,6.837
16,"Mobile, AL",1,Peak,2,5000,9999,50.00,99.99,10,4001,999999,0,23.738
16,"Mobile, AL",1,Peak,3,10000,999999,100.00,9999.99,1,0,250,0,9.208
16,"Mobile, AL",1,Peak,3,10000,999999,100.00,9999.99,2,251,500,0,9.41
16,"Mobile, AL",1,Peak,3,10000,999999,100.00,9999.99,3,501,1000,0,9.815
16,"Mobile, AL",1,Peak,3,10000,999999,100.00,9999.99,4,1001,1500,0,10.219
16,"Mobile, AL",1,Peak,3,10000,999999,100.00,9999.99,5,1501,2000,0,10.623
16,"Mobile, AL",1,Peak,3,10000,999999,100.00,9999.99,6,2001,2500,0,11.028
16,"Mobile, AL",1,Peak,3,10000,999999,100.00,9999.99,7,2501,3000,0,11.432
16,"Mobile, AL",1,Peak,3,10000,999999,100.00,9999.99,8,3001,3500,0,11.836
16,"Mobile, AL",1,Peak,3,10000,999999,100.00,9999.99,9,3501,4000,0,12.241
16,"Mobile, AL",1,Peak,3,10000,999999,100.00,9999.99,10,4001,999999,0,29.142
20,"Montgomery, AL",1,NonPeak,1,500,4999,5.00,49.99,1,0,250,0,1.845
20,"Montgomery, AL",1,NonPeak,1,500,4999,5.00,49.99,2,251,500,0,2.031
20,"Montgomery, AL",1,NonPeak,1,500,4999,5.00,49.99,3,501,1000,0,2.403
20,"Montgomery, AL",1,NonPeak,1,500,4999,5.00,49.99,4,1001,1500,0,2.776
20,"Montgomery, AL",1,NonPeak,1,500,4999,5.00,49.99,5,1501,2000,0,3.148
20,"Montgomery, AL",1,NonPeak,1,500,4999,5.00,49.99,6,2001,2500,0,3.521
20,"Montgomery, AL",1,NonPeak,1,500,4999,5.00,49.99,7,2501,3000,0,3.893
20,"Montgomery, AL",1,NonPeak,1,500,4999,5.00,49.99,8,3001,3500,0,4.265
20,"Montgomery, AL",1,NonPeak,1,500,4999,5.00,49.99,9,3501,4000,0,4.638
20,"Montgomery, AL",1,NonPeak,1,500,4999,5.00,49.99,10,4001,999999,0,20.205
20,"Montgomery, AL",1,NonPeak,2,5000,9999,50.00,99.99,1,0,250,0,3.504
20,"Montgomery, AL",1,NonPeak,2,5000,9999,50.00,99.99,2,251,500,0,3.69
20,"Montgomery, AL",1,NonPeak,2,5000,9999,50.00,99.99,3,501,1000,0,4.062
20,"Montgomery, AL",1,NonPeak,2,5000,9999,50.00,99.99,4,1001,1500,0,4.435
20,"Montgomery, AL",1,NonPeak,2,5000,9999,50.00,99.99,5,1501,2000,0,4.807
20,"Montgomery, AL",1,NonPeak,2,5000,9999,50.00,99.99,6,2001,2500,0,5.18
20,"Montgomery, AL",1,NonPeak,2,5000,9999,50.00,99.99,7,2501,3000,0,5.552
20,"Montgomery, AL",1,NonPeak,2,5000,9999,50.00,99.99,8,3001,3500,0,5.924
20,"Montgomery, AL",1,NonPeak,2,5000,9999,50.00,99.99,9,3501,4000,0,6.297
20,"Montgomery, AL",1,NonPeak,2,5000,9999,50.00,99.99,10,4001,999999,0,21.864
20,"Montgomery, AL",1,NonPeak,3,10000,999999,100.00,9999.99,1,0,250,0,8.481
20,"Montgomery, AL",1,NonPeak,3,10000,999999,100.00,9999.99,2,251,500,0,8.667
20,"Montgomery, AL",1,NonPeak,3,10000,999999,100.00,9999.99,3,501,1000,0,9.04
20,"Montgomery, AL",1,NonPeak,3,10000,999999,100.00,9999.99,4,1001,1500,0,9.412
20,"Montgomery, AL",1,NonPeak,3,10000,999999,100.00,9999.99,5,1501,2000,0,9.785
20,"Montgomery, AL",1,NonPeak,3,10000,999999,100.00,9999.99,6,2001,2500,0,10.157
20,"Montgomery, AL",1,NonPeak,3,10000,999999,100.00,9999.99,7,2501,3000,0,10.529
20,"Montgomery, AL",1,NonPeak,3,10000,999999,100.00,9999.99,8,3001,3500,0,10.902
20,"Montgomery, AL",1,NonPeak,3,10000,999999,100.00,9999.99,9,3501,4000,0,11.274
20,"Montgomery, AL",1,NonPeak,3,10000,999999,100.00,9999.99,10,4001,999999,0,26.841
20,"Montgomery, AL",1,Peak,1,500,4999,5.00,49.99,1,0,250,0,2.003
20,"Montgomery, AL",1,Peak,1,500,4999,5.00,49.99,2,251,500,0,2.205
20,"Montgomery, AL",1,Peak,1,500,4999,5.00,49.99,3,501,1000,0,2.609
20,"Montgomery, AL",1,Peak,1,500,4999,5.00,49.99,4,1001,1500,0,3.014
20,"Montgomery, AL",1,Peak,1,500,4999,5.00,49.99,5,1501,2000,0,3.418
20,"Montgomery, AL",1,Peak,1,500,4999,5.00,49.99,6,2001,2500,0,3.822
20,"Montgomery, AL",1,Peak,1,500,4999,5.00,49.99,7,2501,3000,0,4.227
20,"Montgomery, AL",1,Peak,1,500,4999,5.00,49.99,8,3001,3500,0,4.631
20,"Montgomery, AL",1,Peak,1,500,4999,5.00,49.99,9,3501,4000,0,5.035
20,"Montgomery, AL",1,Peak,1,500,4999,5.00,49.99,10,4001,999999,0,21.937
20,"Montgomery, AL",1,Peak,2,5000,9999,50.00,99.99,1,0,250,0,3.804
20,"Montgomery, AL",1,Peak,2,5000,9999,50.00,99.99,2,251,500,0,4.006
20,"Montgomery, AL",1,Peak,2,5000,9999,50.00,99.99,3,501,1000,0,4.411
20,"Montgomery, AL",1,Peak,2,5000,9999,50.00,99.99,4,1001,1500,0,4.815
20,"Montgomery, AL",1,Peak,2,5000,9999,50.00,99.99,5,1501,2000,0,5.219
20,"Montgomery, AL",1,Peak,2,5000,9999,50.00,99.99,6,2001,2500,0,5.624
